44214^Black Swan^2010/12/3 上午 12:00:00^24.38^A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.^7.6^10439^18 27 53^Drama | Horror | Thriller | ^5jaI1XOB-bs^/rH19vkjAzCZ0HIUvrgB3rowm68h.jpg^528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 531219 581392 601844 692969 652004 474350 722603 617505 748224 9286 670266 733491 611605 715658 735110 595149 728144 704630 667141 420634 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^45317 322 187 453 5038 1954 1640 1164 1491 64690 9693 8967 19913 62215 152532 587 77 544 627 4553^
10681^WALL·E^2008/6/22 上午 12:00:00^36.125^WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.^8^13496^16 10751 878^Animation | Family | Science Fiction | ^8-_9n5DtKOc^/Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg^635302 560050 721656 354912 677638 741074 446893 592350 594328 283566 330457 385103 508439 664767 738215 532067 703771 301528 631132 481084 531219 721656 560050 624963 475430 354912 499338 677638 741074 425001 446893 594328 454626 330457 385103 508439 10439 420818 413518 420809 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^38757 49013 8355 13053 810 812 10020 10527 20352 49444 607 601 38055 2048 9928 1858 15512 22794 608 557^
285^Pirates of the Caribbean: At World's End^2007/5/19 上午 12:00:00^48.019^Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.^7.2^10295^12 14 28^Action | Adventure | Fantasy | ^HKSZtp_OGHY^/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439 724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603^58574 8355 8373 36657 18360 675 557 767 9502 810 2454 217 12444 953 2080 2059 12155 674 6637 1894^
315635^Spider-Man: Homecoming^2017/7/5 上午 12:00:00^91.146^Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.^7.4^15056^28 12 18 878^Action | Adventure | Drama | Science Fiction | ^rk-dF1lIbIg lCkVr1n1eCA DiTECkLZ8HM xpu9yRO_rvU xbQdPBiF3Co xEvV3OsE2WM^/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^559 1771 383498 1724 118340 429617 166426 339403 299537 209112 558 330459 557 281338 68721 293167 127585 1726 348350 305470^
131631^The Hunger Games: Mockingjay - Part 1^2014/11/19 上午 12:00:00^53.314^Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.^6.8^11984^12 878 53^Adventure | Science Fiction | Thriller | ^JzcYyzCZdiM C_Tsj_wTJkQ IXshQ5mv1K8 tx3dIRj_c6c ityEaDi_2Vc^/ezHakxJHVXdPI6h3TKssEwXYtsg.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^109445 57158 102382 50620 2454 76285 50619 58595 1593 674 1865 76338 950 672 18360 58 181533 673 425 10140^
862^Toy Story^1995/10/30 上午 12:00:00^51.798^Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.^7.9^13078^16 35 10751^Animation | Comedy | Family | ^u9y2tXnjP_E 4j_qfJN0qd4 tN1A2mVnrOM v-PjgYDrg70^/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg^635302 560050 721656 354912 677638 741074 446893 592350 594328 283566 330457 385103 508439 664767 738215 532067 703771 301528 631132 481084 531219 740985 590223 624963 721656 660982 354912 677638 741074 621870 425001 446893 495764 594328 454626 746957 726739 330457 385103 508439 531219 721656 560050 624963 475430 354912 499338 677638 741074 425001 446893 594328 454626 330457 385103 508439 10439 420818 413518 420809^10020 49013 37135 38757 10527 557 8355 9325 408 10192 10144 607 1593 10555 558 559 9738 10191 13053 12230^
293660^Deadpool^2016/2/9 上午 12:00:00^77.835^Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.^7.6^23773^28 12 35^Action | Adventure | Comedy | ^FyKWUTwSYAs ONHBaC-pfsk 9vN6DHB6bJc^/yGSxMiF0cYuAiyuve5DA6bnWEOI.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 740985 590223 624963 721656 660982 354912 677638 741074 621870 425001 446893 495764 594328 454626 746957 726739 330457 385103 508439^559 330459 36658 9806 102382 23483 259316 68735 9738 315635 558 608 10195 278927 135397 131634 1487 75656 1979 607^
100402^Captain America: The Winter Soldier^2014/3/20 上午 12:00:00^30.021^After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.^7.7^13538^28 12 878^Action | Adventure | Science Fiction | ^tbayiPxkUMM 7SlILk2WMTI^/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^284052 9738 36668 1979 57158 137113 558 2080 1930 36657 124905 119450 246655 44912 283995 557 98566 1927 101299 97020^
2062^Ratatouille^2007/6/22 上午 12:00:00^46.927^A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.^7.7^11651^16 35 10751 14^Animation | Comedy | Family | Fantasy | ^jOGDozdW9Yo^/npHNjldbeTHdKKw28bJKs7lzqzj.jpg^635302 560050 721656 354912 677638 741074 446893 592350 594328 283566 330457 385103 508439 664767 738215 532067 703771 301528 631132 481084 531219 740985 590223 624963 721656 660982 354912 677638 741074 621870 425001 446893 495764 594328 454626 746957 726739 330457 385103 508439 531219 721656 560050 624963 475430 354912 499338 677638 741074 425001 446893 594328 454626 330457 385103 508439 10439 420818 413518 420809 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439^10527 10020 812 37135 13053 1593 62177 10555 10192 408 49013 9325 22794 49444 10144 10674 12230 11544 411 9836^
383498^Deadpool 2^2018/5/10 上午 12:00:00^105.119^Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.^7.5^12280^28 12 35^Action | Adventure | Comedy | ^Z5ezsReZcxU 2-5Wv9UGkN8 xZNBFcwd7zc D86RtevtfrA bI31WqFDxNs 20bpjtCbCz0^/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 740985 590223 624963 721656 660982 354912 677638 741074 621870 425001 446893 495764 594328 454626 746957 726739 330457 385103 508439^268896 181808 445571 284052 427641 102899 429617 353486 300668 447332 293660 263115 390043 320288 400106 246655 447404 402900 339403 76338^
333339^Ready Player One^2018/3/28 上午 12:00:00^118.046^When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.^7.6^10309^12 878^Adventure | Science Fiction | ^dtwpjnuaVTE cSp1dM2Vj48 DlU4ZSU2xzg D_eZxSYRhco^/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^335984 338952 353486 287947 336843 401981 428078 399055 369972 392044 339403 297802 399579 487558 400106 404368 283995 299536 299537 447404^
77^Memento^2000/10/11 上午 12:00:00^25.775^Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.^8.2^10139^9648 53^Mystery | Thriller | ^Rq9eM4ZXRgs^/uprP8rtOgMYJQ2h3ldDFvGsaBgH.jpg^497582 721656 677638 9286 617505 505379 735110 11679 582306 208763 643550 575094 6933 10226 732713 675 309013 699046 520901 198663 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^107 4553 1018 187 38 745 2118 274 600 9693 185 17431 7345 453 769 28 492 180 1359 1949^
105^Back to the Future^1985/7/3 上午 12:00:00^61.839^Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.^8.3^13985^12 35 878 10751^Adventure | Comedy | Family | Science Fiction | ^qvsgGtivCgs AM28GvL8oCM GdccQODQsIw uduqQYfJ0_w^/xlBivetfrtF84Yx0zISShnNtHYe.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 740985 590223 624963 721656 660982 354912 677638 741074 621870 425001 446893 495764 594328 454626 746957 726739 330457 385103 508439 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534 531219 721656 560050 624963 475430 354912 499338 677638 741074 425001 446893 594328 454626 330457 385103 508439 10439 420818 413518 420809^348 1894 11 954 1895 1893 425 180 558 36658 604 2048 296 745 310 854 564 605 1572 268^
603^The Matrix^1999/3/30 上午 12:00:00^50.779^Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.^8.1^17940^28 878^Action | Science Fiction | ^m8e-FF8MsqU qEXv-rVWAu8 L0fw0WzFaBM^/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^857 105 608 2501 1892 954 329 36657 10528 187 36557 13475 807 17654 24 1271 752 78 63 87^
157336^Interstellar^2014/11/5 上午 12:00:00^70.735^The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.^8.3^24054^12 18 878^Adventure | Drama | Science Fiction | ^827FNDpQWrQ nyc6RJEEe0U zSWdZVtXT7E 2LqzF5WauAw ePbKGoIGAXY Rt2LHkSwdPQ LY19rHKAaAg 0vxOhd4qlnA MfGfZwQ_qaY KlyknsTJk0w^/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^11324 807 152601 119450 16869 17654 37165 152532 127585 68724 6977 45612 190859 146233 500 207703 37799 141 57158 76203^
58^Pirates of the Caribbean: Dead Man's Chest^2006/7/6 上午 12:00:00^53.929^Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones to avoid eternal damnation.^7.3^11526^28 12 14^Action | Adventure | Fantasy | ^elqO-GNfStM^/AdRQGfT05z6L9gIpUpkh4McMmpm.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439^809 953 767 1734 564 58574 9502 674 8355 8373 18360 2080 2454 12445 810 10528 673 672 166426 2059^
49026^The Dark Knight Rises^2012/7/16 上午 12:00:00^46.977^Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.^7.7^16818^28 80 18 53^Action | Crime | Drama | Thriller | ^z5Humz3ONgk 7gFwvozMHR4 g8evyE9TuYk J9DlV9qwtF0^/vzvKcPQ4o7TjWeGIn0aGC9FeVNu.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 497582 539885 721656 493065 605116 603119 495764 531499 475557 632618 38700 703134 667141 619592 11679 458156 655431 582218 746180 559937 528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^36557 49051 557 121 1858 38356 1895 10764 1892 1771 1726 27578 122 13183 61791 54138 41154 1894 1271 1724^
673^Harry Potter and the Prisoner of Azkaban^2004/5/31 上午 12:00:00^117.219^Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black—and turns to sympathetic Professor Lupin for help.^8^14923^12 14^Adventure | Fantasy | ^R69laoH02xg _wKsGHrxwBo Sp1yQfhwvK4 1y3vfrfmoCw^/v0wMKEEGaNc9evdqGYfIvoWXh24.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439^12155 953 559 1593 9738 9806 36658 863 585 810 607 9502 608 812 2454 10020 862 2062 1979 8587^
